Year,Month,Yearmon,Deaths,Race,Population,Rate,n
2012,11,Nov 2012,430,White,200698847,0.21425135541511106,2012.8333333333333
2012,12,Dec 2012,23,Indian,2620501,0.8776947614215754,2012.9166666666667
2012,12,Dec 2012,30,Asian,17175596,0.17466642787825237,2012.9166666666667
2012,12,Dec 2012,721,Black,40391388,1.7850339780351197,2012.9166666666667
2012,12,Dec 2012,237,Hispanic,47525706,0.4986774946594165,2012.9166666666667
2012,12,Dec 2012,455,White,200698847,0.22670782956715244,2012.9166666666667
2013,1,Jan 2013,20,Indian,2643000,0.7567158531971245,2013
2013,1,Jan 2013,21,Asian,17693870,0.11868517175722439,2013
2013,1,Jan 2013,676,Black,40802086,1.6567780382601027,2013
2013,1,Jan 2013,207,Hispanic,48425985,0.42745645751965605,2013
2013,1,Jan 2013,491,White,200918513,0.24437767962178775,2013
2013,2,Feb 2013,18,Indian,2643000,0.681044267877412,2013.0833333333333
2013,2,Feb 2013,23,Asian,17693870,0.12998852144838863,2013.0833333333333
2013,2,Feb 2013,481,Black,40802086,1.1788612964543037,2013.0833333333333
2013,2,Feb 2013,177,Hispanic,48425985,0.3655062462849233,2013.0833333333333
2013,2,Feb 2013,399,White,200918513,0.1985879718311473,2013.0833333333333
2013,3,Mar 2013,26,Indian,2643000,0.9837306091562618,2013.1666666666667
2013,3,Mar 2013,20,Asian,17693870,0.11303349691164229,2013.1666666666667
2013,3,Mar 2013,601,Black,40802086,1.4729639067963338,2013.1666666666667
2013,3,Mar 2013,206,Hispanic,48425985,0.4253914504784983,2013.1666666666667
2013,3,Mar 2013,444,White,200918513,0.22098511151135186,2013.1666666666667
2013,4,Apr 2013,19,Indian,2643000,0.7188800605372683,2013.25
2013,4,Apr 2013,24,Asian,17693870,0.13564019629397076,2013.25
2013,4,Apr 2013,662,Black,40802086,1.6224660670535325,2013.25
